Georgia Illinois Kentucky Oklahoma
18.43321 18.36284 18.29239 18.22187
18.15127 18.08059 18.00984 17.939
17.86807 17.79706 17.72596 17.65478
17.58349 17.51212 17.44065 17.36908
17.29741 17.22564 17.15377 17.08179
17.00971 16.93751 16.86521 16.79279
16.72025 16.6476 16.57483 16.50194
16.42893 16.3558 16.28253 16.20914
16.13562 16.06197 15.98818 15.91426
15.84019 15.76599 15.69165 15.61717
15.54253 15.46776 15.39283 15.31775
15.24252 15.16717 15.09172 15.01621
14.94065 14.8651 14.78956 14.71407
14.63867 14.56338 14.48823 14.41324
14.33846 14.26391 14.18961 14.11561
14.04192 13.96858 13.89561 13.82305
13.75093 13.67927 13.60811 13.53747
13.46739 13.39789 13.329 13.26076
13.19319 13.12632 13.06018 12.9948
12.93021 12.86644 12.80352 12.74148
12.68035 12.62016 12.56093 12.50271
12.44551 12.38936 12.3343 12.28036
12.22756 12.17593 12.12551 12.07633
12.0284 11.98177 11.93646 11.8925
11.84993 11.80876 11.76903 11.73078
11.69402 11.65879 11.62513 11.59304
11.56258 11.53376 11.50663 11.48119
11.45749 11.43556 11.41542 11.39711
11.38065 11.36607 11.35341 11.34269
11.33394 11.32719 11.32248 11.31982
11.31926 11.32081 11.32452 11.3304
11.33849 11.34882 11.36142 11.37631
11.39353 11.4131 11.43507 11.45944
11.48626 11.51556 11.54736 11.58169
3.417313 3.391775 3.367432 3.344276
3.322297 3.301485 3.281831 3.263325
3.245958 3.22972 3.214602 3.200594
3.187688 3.175873 3.165139 3.155479
3.146881 3.139337 3.132837 3.127371
3.122931 3.119506 3.117087 3.115665
3.11523 3.115772 3.117283 3.119753
3.123172 3.12753 3.132819 3.139029
3.14615 3.154173 3.163088 3.172886
3.183558 3.195094 3.207484 3.220719
3.234789 3.249685 3.265398 3.281919
3.299236 3.317342 3.336226 3.35588
3.376293 3.397456 3.41936 3.441996
3.465353 3.489422 3.514194 3.539659
3.565809 3.592632 3.620121 3.648264
3.677054 3.70648 3.736533 3.767204
3.798483 3.83036 3.862826 3.895872
3.929487 3.963664 3.998391 4.03366
4.069462 4.105786 4.142623 4.179964
4.217799 4.256119 4.294914 4.334175
4.373892 4.414056 4.454658 4.495687
4.537135 4.578992 4.621248 4.663894
4.706921 4.750319 4.794078 4.838189
4.882643 4.927432 4.972556 5.018017
5.063815 5.109951 5.156428 5.203245
5.250406 5.29791 5.345758 5.393954
5.442496 5.491387 5.540628 5.59022
5.640165 5.690463 5.741116 5.792125
5.843492 5.895217 5.947302 5.999748
6.052557 6.105729 6.159266 6.213169
6.267439 6.322077 6.377086 6.432465
6.488217 6.544343 6.600843 6.657719
6.714972 6.772604 6.830615 6.889008
6.947782 7.00694 7.066483 7.126412
7.186727 7.247432 7.308526 7.37001
7.431887 7.494158 7.556823 7.619883
7.683341 7.747198 7.811453 7.87611
7.941169 8.006631 8.072498 8.13877
8.205449 8.272537 8.340034 8.407942
8.476262 8.544996 8.614144 8.683707
8.753688 8.824086 8.894904 8.966143
9.037804 9.109888 9.182397 9.255331
9.328692 9.402481 9.476699 9.551349
9.62643 9.701944 9.777893 9.854277
9.931098 10.00836 10.08606 10.16419
10.24278 10.3218 10.40127 10.48118
10.56154 10.64232 10.72353 10.80516
10.88718 10.96961 11.05241 11.1356
11.21915 11.30306 11.38731 11.47191
11.55683 11.64207 11.72763 11.81348
11.89963 11.98606 12.07277 12.15973
12.24695 12.33442 12.42212 12.51005
12.5982 12.68655 12.7751 12.86384
12.95276 13.04186 13.13111 13.22051
13.31006 13.39973 13.48953 13.57945
13.66947 13.75959 13.84979 13.94007
14.03041 14.12082 14.21127 14.30176
14.39228 14.48283 14.57338 14.66394
14.75448 14.84502 14.93552 15.02599
15.11642 15.20679 15.29709 15.38733
15.47748 15.56754 15.6575 15.74734
15.83707 15.92667 16.01613 16.10545
16.1946 16.28359 16.37241 16.46103
16.54947 16.6377 16.72571 16.81351
16.90107 16.98839 17.07546 17.16227
17.24881 17.33507 17.42104 17.50672
17.59209 17.67714 17.76187 17.84626
17.93031 18.014 18.09733 18.18029
18.26287 18.34506 18.42684 18.50823
18.58923 18.66984 18.75007 18.82991
18.90938 18.98847 19.0672 19.14557
19.22358 19.30123 19.37853 19.45549
19.5321 19.60838 19.68432 19.75993
19.83522 19.91019 19.98484 20.05918
20.13322 20.20694 20.28037 20.35351
20.42635 20.49891 20.57118 20.64318
20.7149 20.78635 20.85754 20.92847
20.99914 21.06955 21.13972 21.20965
21.27933 21.34878 21.418 21.48699
21.55576 21.62431 21.69265 21.76077
21.82869 21.89641 21.96393 22.03126
22.0984 22.16535 22.23213 22.29873
22.36515 22.43141 22.49751 22.56345
22.62923 22.69486 22.76035 22.82569
22.8909 22.95597 23.02092 23.08574
23.15044 23.21502 23.27949 23.34385
23.40811 23.47227 23.53633 23.60031
23.66419 23.728 23.79172 23.85538
23.91896 23.98248 24.04593 24.10933
24.17268 24.23598 24.29923 24.36245
24.42562 24.48877 24.55189 24.61499
24.67807 24.74113 24.80417 24.86718
24.93016 24.99311 25.05601 25.11886
25.18167 25.24442 25.3071 25.36973
25.43228 25.49476 25.55715 25.61947
25.68169 25.74382 25.80585 25.86777
25.92959 25.99129 26.05288 26.11434
26.17567 26.23688 26.29794 26.35886
26.41964 26.48026 26.54072 26.60103
26.66117 26.72113 26.78093 26.84054
26.89996 26.9592 27.01824 27.07708
27.13571 27.19414 27.25235 27.31034
27.36811 27.42565 27.48295 27.54002
27.59684 27.65342 27.70975 27.76581
27.82162 27.87715 27.93242 27.98741
28.04211 28.09653 28.15066 28.2045
28.25803 28.31126 28.36417 28.41678
28.46906 28.52102 28.57264 28.62394
28.67489 28.7255 28.77576 28.82567
28.87522 28.92441 28.97323 29.02167
29.06974 29.11743 29.16473 29.21164
29.25815 29.30425 29.34996 29.39525
29.44013 29.48458 29.52861 29.57221
29.61537 29.6581 29.70038 29.74221
29.78359 29.82452 29.86501 29.90505
29.94464 29.98379 30.0225 30.06077
30.0986 30.13599 30.17294 30.20946
30.24554 30.28119 30.31641 30.35119
30.38555 30.41947 30.45297 30.48604
30.51869 30.55092 30.58272 30.6141
30.64506 30.6756 30.70573 30.73544
30.76473 30.79361 30.82208 30.85013
30.87778 30.90501 30.93184 30.95826
30.98428 31.00989 31.03511 31.05991
31.08432 31.10833 31.13195 31.15516
31.17798 31.20041 31.22244 31.24408
31.26533 31.28619 31.30667 31.32676
31.34646 31.36578 31.38471 31.40326
31.42144 31.43923 31.45664 31.47368
31.49035 31.50663 31.52255 31.53809
31.55326 31.56807 31.5825 31.59657
31.61027 31.62361 31.63659 31.6492
31.66145 31.67334 31.68488 31.69605
31.70687 31.71734 31.72745 31.73721
31.74662 31.75568 31.7644 31.77276
31.78078 31.78845 31.79578 31.80277
31.80942 31.81572 31.82169 31.82732
31.83259 31.83752 31.8421 31.84632
31.85018 31.85368 31.85681 31.85958
31.86197 31.86398 31.86562 31.86688
31.86775 31.86823 31.86832 31.86801
31.86731 31.86621 31.8647 31.86278
31.86045 31.85771 31.85454 31.85096
31.84695 31.84252 31.83765 31.83235
31.82662 31.82044 31.81381 31.80675
31.79923 31.79125 31.78282 31.77393
31.76457 31.75475 31.74446 31.73369
31.72245 31.71073 31.69853 31.68583
31.67265 31.65898 31.64481 31.63014
31.61497 31.59929 31.5831 31.5664
31.54918 31.53145 31.51319 31.49441
31.47509 31.45525 31.43487 31.41395
31.39249 31.37049 31.34793 31.32483
31.30117 31.27695 31.25217 31.22682
31.20091 31.17442 31.14737 31.11973
31.09151 31.06271 31.03332 31.00334
30.97276 30.94159 30.90982 30.87744
30.84446 30.81086 30.77665 30.74183
30.70638 30.67031 30.63362 30.59629
30.55833 30.51974 30.48053 30.4407
30.40025 30.3592 30.31755 30.2753
30.23247 30.18905 30.14506 30.1005
30.05537 30.00968 29.96345 29.91666
29.86934 29.82148 29.7731 29.72419
29.67476 29.62483 29.57439 29.52346
29.47203 29.42012 29.36773 29.31486
29.26153 29.20773 29.15348 29.09878
29.04363 28.98805 28.93204 28.8756
28.81874 28.76147 28.70379 28.64571
28.58724 28.52837 28.46913 28.4095
28.3495 28.28914 28.22842 28.16735
28.10593 28.04417 27.98207 27.91965
27.8569 27.79384 27.73046 27.66678
27.6028 27.53853 27.47397 27.40914
27.34402 27.27864 27.213 27.1471
27.08095 27.01455 26.94792 26.88105
26.81396 26.74664 26.67912 26.61138
26.54344 26.47531 26.40699 26.33848
26.26979 26.20094 26.13191 26.06273
25.99339 25.9239 25.85428 25.78451
25.71462 25.6446 25.57447 25.50422
25.43387 25.36342 25.29288 25.22224
25.15152 25.0807 25.00979 24.93877
24.86766 24.79645 24.72513 24.6537
24.58216 24.5105 24.43874 24.36685
24.29484 24.22271 24.15046 24.07808
24.00556 23.93292 23.86014 23.78722
23.71416 23.64095 23.56761 23.49411
23.42046 23.34667 23.27271 23.1986
23.12433 23.04989 22.97529 22.90053
22.82559 22.75048 22.67519 22.59973
22.52409 22.44826 22.37225 22.29605
22.21967 22.14309 22.06631 21.98934
21.91216 21.83479 21.75721 21.67942
21.60142 21.52321 21.44479 21.36615
21.28729 21.2082 21.12889 21.04936
20.96959 20.88959 20.80936 20.72889
20.64818 20.56723 20.48603 20.40459
20.3229 20.24095 20.15875 20.07629
19.99358 19.9106 19.82736 19.74385
19.66007 19.57601 19.49169 19.40709
19.3222 19.23704 19.15159 19.06586
18.97983 18.89351 18.8069 18.72
18.63279 18.54528 18.45747 18.36935
18.28092 18.19218 18.10313 18.01377
17.92412 17.83417 17.74393 17.65341
17.56262 17.47155 17.38021 17.28862
17.19676 17.10466 17.01231 16.91973
16.82691 16.73386 16.64059 16.5471
16.45339 16.35949 16.26538 16.17107
16.07658 15.9819 15.88704 15.792
15.6968 15.60143 15.50591 15.41024
15.31442 15.21845 15.12235 15.02612
14.92977 14.8333 14.73671 14.64001
14.54321 14.44632 14.34933 14.25225
14.15509 14.05786 13.96056 13.86319
13.76576 13.66828 13.57075 13.47317
13.37556 13.27792 13.18024 13.08255
12.98484 12.88712 12.7894 12.69168
12.59396 12.49625 12.39856 12.30089
12.20325 12.10565 12.00808 11.91055
11.81308 11.71566 11.6183 11.52101
11.42378 11.32664 11.22957 11.1326
11.03571 10.93893 10.84225 10.74567
10.64922 10.55288 10.45667 10.36059
10.26464 10.16884 10.07319 9.977688
9.882346 9.787167 9.692157 9.597323
9.50267 9.408219 9.31399 9.220006
9.126289 9.03286 8.939742 8.846955
8.754523 8.662466 8.570807 8.479568
8.388769 8.298435 8.208585 8.119242
8.030428 7.942165 7.854474 7.767378
7.680897 7.595055 7.509873 7.425373
7.341576 7.258504 7.17618 7.094626
7.013862 6.933911 6.854795 6.776535
6.699154 6.622673 6.547115 6.4725
6.398851 6.32619 6.254539 6.183919
6.114352 6.045861 5.978466 5.91219
5.847055 5.783083 5.720294 5.658713
5.598359 5.539255 5.481423 5.424885
5.369662 5.315776 5.26325 5.212105
5.162363 5.114046 5.067175 5.021773
4.977861 4.935461 4.894595 4.855285
4.817553 4.781421 4.74691 4.714043
4.68284 4.653325 4.625518 4.599442
4.575119 4.55257 4.531818 4.512884
4.495789 4.480557 4.467208 4.455765
4.446249 4.438682 4.433087 4.429484
4.427897 4.428346 4.430853 4.435441
4.442132 4.450946 4.461906 4.475034
5.94476 5.912462 5.881584 5.852113
5.824034 5.797336 5.772005 5.748029
5.725393 5.704085 5.684093 5.665402
5.648001 5.631875 5.617013 5.6034
5.591024 5.579872 5.569931 5.561188
5.55363 5.547243 5.542015 5.537932
5.534983 5.533153 5.532429 5.532799
5.53425 5.536768 5.54034 5.544954
5.550596 5.557254 5.564914 5.573564
5.583189 5.593778 5.605318 5.617794
5.631195 5.645506 5.660716 5.676811
5.693778 5.711604 5.730276 5.749781
5.770106 5.791237 5.813163 5.835869
5.859344 5.883573 5.908544 5.934243
5.960658 5.987776 6.015584 6.044068
6.073216 6.103014 6.13345 6.16451
6.196181 6.228452 6.261307 6.294735
6.328722 6.363256 6.398322 6.433909
6.470004 6.506592 6.543662 6.581199
6.619192 6.657627 6.696491 6.735771
6.775454 6.815527 6.855976 6.89679
6.937954 6.979457 7.021284 7.063423
7.10586 7.148584 7.19158 7.234835
7.278338 7.322076 7.36605 7.410261
7.454709 7.499396 7.544322 7.589488
7.634896 7.680547 7.726441 7.77258
7.818964 7.865595 7.912474 7.959601
8.006977 8.054605 8.102483 8.150615
8.199 8.24764 8.296535 8.345687
8.395097 8.444765 8.494693 8.544882
8.595333 8.646046 8.697023 8.748264
8.799772 8.851546 8.903588 8.955898
9.008479 9.06133 9.114453 9.167849
9.221518 9.275463 9.329683 9.38418
9.438955 9.494009 9.549343 9.604957
9.660854 9.717033 9.773496 9.830244
9.887278 9.944599 10.00221 10.06011
10.11829 10.17677 10.23554 10.29461
10.35397 10.41362 10.47357 10.53381
10.59436 10.6552 10.71634 10.77779
10.83953 10.90158 10.96393 11.02659
11.08956 11.15283 11.21641 11.2803
11.3445 11.40901 11.47383 11.53896
11.60441 11.67018 11.73626 11.80266
11.86937 11.93641 12.00376 12.07144
12.13944 12.20776 12.27641 12.34538
12.41467 12.48428 12.5542 12.62442
12.69493 12.76574 12.83682 12.90818
12.9798 13.05168 13.12382 13.1962
13.26882 13.34167 13.41475 13.48805
13.56156 13.63527 13.70918 13.78328
13.85756 13.93203 14.00666 14.08145
14.1564 14.2315 14.30674 14.38211
14.45762 14.53324 14.60898 14.68482
14.76077 14.83681 14.91294 14.98914
15.06542 15.14176 15.21816 15.29462
15.37112 15.44765 15.52422 15.60081
15.67742 15.75404 15.83066 15.90728
15.98389 16.06048 16.13705 16.21358
16.29008 16.36653 16.44292 16.51926
16.59554 16.67174 16.74785 16.82389
16.89983 16.97566 17.05139 17.12701
17.2025 17.27787 17.35309 17.42818
17.50312 17.5779 17.65252 17.72696
17.80123 17.87532 17.94921 18.02291
18.0964 18.16968 18.24274 18.31558
18.38818 18.46054 18.53266 18.60452
18.67612 18.74746 18.81852 18.8893
18.95979 19.02998 19.09988 19.16947
19.23877 19.30777 19.37648 19.44489
19.51302 19.58086 19.64842 19.7157
19.78269 19.84941 19.91586 19.98204
20.04794 20.11358 20.17895 20.24406
20.30891 20.37351 20.43784 20.50193
20.56576 20.62935 20.69269 20.75579
20.81865 20.88126 20.94364 21.00579
21.06771 21.12939 21.19086 21.25209
21.31311 21.3739 21.43448 21.49484
21.55499 21.61493 21.67466 21.73419
21.79351 21.85264 21.91156 21.97029
22.02883 22.08717 22.14533 22.2033
22.26108 22.31869 22.37611 22.43336
22.49044 22.54734 22.60407 22.66063
22.71703 22.77327 22.82935 22.88527
22.94103 22.99665 23.05211 23.10742
23.16259 23.21761 23.27249 23.32724
23.38184 23.43632 23.49066 23.54487
23.59895 23.65292 23.70675 23.76047
23.81408 23.86756 23.92094 23.9742
24.02736 24.08041 24.13336 24.1862
24.23895 24.2916 24.34416 24.39663
24.44901 24.5013 24.5535 24.60561
24.65761 24.70952 24.76133 24.81302
24.86461 24.91609 24.96745 25.0187
25.06982 25.12082 25.17169 25.22243
25.27304 25.32351 25.37385 25.42404
25.47409 25.52399 25.57373 25.62333
25.67277 25.72204 25.77116 25.82011
25.86889 25.9175 25.96594 26.01419
26.06227 26.11016 26.15787 26.20539
26.25271 26.29984 26.34677 26.3935
26.44002 26.48634 26.53245 26.57834
26.62402 26.66948 26.71471 26.75972
26.80451 26.84906 26.89338 26.93746
26.9813 27.02489 27.06824 27.11134
27.15419 27.19679 27.23913 27.2812
27.32301 27.36456 27.40583 27.44684
27.48756 27.52801 27.56818 27.60806
27.64765 27.68695 27.72596 27.76467
27.80309 27.8412 27.879 27.9165
27.95368 27.99055 28.0271 28.06333
28.09924 28.13482 28.17008 28.205
28.23958 28.27383 28.30773 28.34129
28.37451 28.40737 28.43988 28.47203
28.50383 28.53528 28.56637 28.59711
28.6275 28.65755 28.68724 28.7166
28.74561 28.77427 28.8026 28.83059
28.85824 28.88556 28.91254 28.93919
28.96551 28.9915 29.01716 29.0425
29.06751 29.0922 29.11657 29.14061
29.16434 29.18776 29.21085 29.23363
29.25611 29.27827 29.30012 29.32166
29.3429 29.36383 29.38446 29.40479
29.42482 29.44455 29.46398 29.48312
29.50196 29.52052 29.53878 29.55675
29.57444 29.59184 29.60895 29.62579
29.64234 29.65861 29.67461 29.69032
29.70577 29.72093 29.73583 29.75046
29.76482 29.77891 29.79273 29.80629
29.81959 29.83263 29.84541 29.85792
29.87019 29.8822 29.89395 29.90545
29.91671 29.92771 29.93847 29.94898
29.95925 29.96927 29.97906 29.9886
29.99791 30.00698 30.01582 30.02442
30.03279 30.04093 30.04885 30.05653
30.06399 30.07123 30.07824 30.08504
30.09161 30.09797 30.10411 30.11003
30.11572 30.12118 30.12642 30.13141
30.13617 30.14068 30.14495 30.14896
30.15272 30.15622 30.15946 30.16243
30.16513 30.16756 30.16971 30.17158
30.17316 30.17446 30.17546 30.17617
30.17657 30.17667 30.17647 30.17595
30.17511 30.17396 30.17249 30.17069
30.16855 30.16609 30.16328 30.16014
30.15665 30.1528 30.14861 30.14406
30.13915 30.13387 30.12823 30.12221
30.11582 30.10905 30.1019 30.09436
30.08643 30.0781 30.06938 30.06025
30.05072 30.04078 30.03042 30.01965
30.00846 29.99684 29.98479 29.97232
29.9594 29.94605 29.93225 29.918
29.90331 29.88816 29.87255 29.85648
29.83994 29.82293 29.80545 29.78749
29.76905 29.75012 29.73071 29.7108
29.6904 29.6695 29.64809 29.62617
29.60375 29.58081 29.55735 29.53336
29.50885 29.48381 29.45824 29.43213
29.40547 29.37828 29.35053 29.32223
29.29337 29.26396 29.23399 29.20348
29.17243 29.14084 29.10871 29.07605
29.04287 29.00916 28.97493 28.94019
28.90494 28.86919 28.83293 28.79618
28.75893 28.72119 28.68297 28.64426
28.60508 28.56542 28.5253 28.48471
28.44366 28.40215 28.36019 28.31779
28.27494 28.23164 28.18792 28.14376
28.09917 28.05416 28.00873 27.96288
27.91662 27.86996 27.82289 27.77543
27.72756 27.67931 27.63067 27.58165
27.53225 27.48248 27.43233 27.38182
27.33095 27.27972 27.22814 27.1762
27.12392 27.0713 27.01834 26.96505
26.91143 26.85749 26.80322 26.74864
26.69375 26.63854 26.58303 26.52723
26.47112 26.41473 26.35804 26.30107
26.24383 26.1863 26.12851 26.07045
26.01212 25.95354 25.8947 25.83561
25.77627 25.71669 25.65688 25.59682
25.53654 25.47603 25.4153 25.35435
25.29319 25.23182 25.17024 25.10846
25.04649 24.98432 24.92196 24.85941
24.79668 24.73377 24.67067 24.6074
24.54394 24.48029 24.41647 24.35247
24.28829 24.22393 24.1594 24.09468
24.02979 23.96473 23.89949 23.83408
23.76849 23.70273 23.6368 23.5707
23.50443 23.43799 23.37138 23.3046
23.23765 23.17054 23.10326 23.03582
22.96821 22.90043 22.8325 22.7644
22.69614 22.62771 22.55913 22.49039
22.42149 22.35243 22.28321 22.21383
22.1443 22.07462 22.00478 21.93478
21.86463 21.79433 21.72388 21.65327
21.58252 21.51161 21.44056 21.36936
21.29801 21.22651 21.15487 21.08308
21.01114 20.93907 20.86684 20.79448
20.72197 20.64933 20.57654 20.50361
